car,49,182,236,255,0.9978404641151428
car,427,181,478,213,0.9805489778518677
car,566,177,632,214,0.9720509648323059
car,712,168,747,194,0.9385741353034973
car,1196,153,1241,172,0.9318401217460632
car,1165,153,1196,173,0.9257788062095642
car,-1,237,115,335,0.8914092779159546
car,1131,155,1167,174,0.8770378828048706
car,1102,156,1133,175,0.8378971815109253
car,826,159,856,171,0.8343966007232666
car,1042,157,1073,175,0.8125243782997131
car,859,158,887,171,0.7252014875411987
car,891,157,918,172,0.6097840070724487
car,304,192,323,207,0.5928987860679626
car,336,176,360,199,0.5287026762962341
car,1009,158,1039,175,0.45794054865837097
car,795,158,823,169,0.42334598302841187
truck,627,154,714,218,0.9733774662017822
truck,485,165,538,204,0.72853684425354
truck,543,149,573,195,0.6399809122085571
