person,9,181,39,238,0.41128572821617126
car,390,177,449,192,0.9453616738319397
car,326,177,380,193,0.8506065607070923
car,254,182,324,206,0.6725375056266785
car,630,172,660,185,0.6199547052383423
car,703,171,724,185,0.6159985065460205
car,544,173,570,192,0.5350126624107361
car,723,168,744,182,0.49937835335731506
car,990,158,1021,168,0.4028727114200592
bus,0,117,106,206,0.44273650646209717
truck,183,149,250,209,0.4266343116760254
traffic light,343,51,366,89,0.9306919574737549
traffic light,95,35,110,69,0.8023196458816528
