person,591,166,637,272,0.9648542404174805
person,511,164,560,303,0.9580185413360596
person,647,160,677,263,0.9577661156654358
person,674,164,735,321,0.9563994407653809
person,735,167,788,296,0.9442968964576721
person,830,168,896,352,0.9343361258506775
person,885,144,972,396,0.7510523796081543
person,574,166,592,215,0.7440633773803711
car,473,173,528,235,0.9855207800865173
backpack,766,189,791,227,0.4639827609062195
handbag,890,195,929,306,0.840785562992096
handbag,764,183,791,224,0.8361689448356628
pottedplant,333,172,413,290,0.875298798084259
pottedplant,48,186,288,374,0.7364004850387573
