person,624,159,650,238,0.9508597254753113
person,415,167,473,314,0.9506564140319824
person,75,247,191,371,0.703354001045227
person,674,159,702,239,0.5588855743408203
person,698,165,720,232,0.46998700499534607
person,466,161,504,307,0.4436161518096924
person,669,165,695,237,0.4229126572608948
bicycle,736,210,847,290,0.8468120098114014
bicycle,1066,283,1235,374,0.5082447528839111
bicycle,945,224,1082,374,0.4525531828403473
bicycle,775,235,848,323,0.4032200276851654
car,566,168,598,193,0.9337521195411682
chair,220,280,321,374,0.9691492915153503
chair,50,303,154,375,0.8249757885932922
chair,42,261,102,283,0.5994734764099121
chair,210,267,275,289,0.5404475927352905
chair,349,246,398,313,0.42313870787620544
