person,555,174,592,252,0.9648115038871765
person,918,159,960,218,0.930492639541626
person,485,169,501,201,0.7725478410720825
person,336,171,352,189,0.5273429155349731
bicycle,561,211,589,267,0.7748727798461914
car,674,171,829,283,0.9982250332832336
car,822,194,1240,374,0.9916492700576782
car,337,189,390,253,0.9835648536682129
car,0,203,224,372,0.9783200025558472
car,193,177,347,289,0.9714844822883606
car,629,175,696,250,0.9683818221092224
car,362,181,416,229,0.9630635380744934
car,403,176,450,208,0.8916786909103394
car,607,176,648,227,0.8629444241523743
car,590,173,621,211,0.691473662853241
car,528,166,561,200,0.5968000888824463
