person,805,164,902,359,0.9396733045578003
person,161,184,183,214,0.4578320384025574
bicycle,926,184,1027,245,0.9916649460792542
bicycle,794,244,914,376,0.9829561114311218
bicycle,1140,192,1240,253,0.9230033755302429
bicycle,668,189,720,228,0.8053833842277527
bicycle,461,201,502,238,0.6074281334877014
bicycle,436,201,460,235,0.5514501929283142
bicycle,1207,202,1242,257,0.48490655422210693
car,286,160,418,264,0.9824935793876648
car,436,170,490,207,0.5789313912391663
traffic light,45,104,72,145,0.9305998682975769
traffic light,103,106,135,145,0.7802549600601196
