person,795,167,884,334,0.9534443616867065
bicycle,963,182,1072,248,0.9889981150627136
bicycle,782,247,906,374,0.9826385378837585
bicycle,1201,203,1243,256,0.7234435677528381
bicycle,684,181,743,228,0.5996535420417786
bicycle,451,201,476,237,0.4317278563976288
bicycle,483,202,518,238,0.41671594977378845
car,279,156,418,262,0.8506031036376953
car,450,169,503,206,0.6616829037666321
car,183,186,224,204,0.5630781650543213
car,91,191,126,213,0.40966281294822693
traffic light,37,100,66,142,0.9623349905014038
traffic light,100,103,130,143,0.8889060020446777
handbag,862,210,899,266,0.4717640280723572
